ClusterID,DetectionDate-first,DetectionDate-last,Duration,avgLatitude,avgLongitude,totalArea_km2,maxBrightness,maxBright_t31,maxFRP,avgConfidence
1485,2015-31-07,2015-31-07,1,64.2214,-158.0363,0.25,316.9,283.9,19.8,94
1486,2015-04-08,2015-05-08,2,64.6855277777778,-155.114333333333,21.5475868352778,377,301.4,488.1,97.3888888888889
1487,2015-05-08,2015-06-08,2,64.445,-154.838675,0.780624037826556,349.3,296,115,94.25
1488,2015-05-08,2015-08-08,4,64.31645,-154.296158333333,13.8987216849973,359.8,301.8,197.3,94.25
1489,2015-05-08,2015-05-08,1,64.51335,-154.48025,0.851370782064204,393.9,301.9,294,100
1490,2015-05-08,2015-05-08,1,64.6425,-154.5206,0.25,340.5,294.2,55.9,91
1491,2015-05-08,2015-05-08,1,63.4223,-144.1752,0.0455126169057731,343.7,303.1,58.5,92
1492,2015-06-08,2015-07-08,2,65.1481888888889,-155.925033333333,1.8265984988401,353.9,296.4,83.4,96.4444444444444
1493,2015-06-08,2015-07-08,2,63.6740777777778,-152.099611111111,3.60590576799655,367.6,302.8,120.8,94.2222222222222
1494,2015-06-08,2015-07-08,2,63.5606333333333,-153.582358333333,4.56339127568481,418.7,307.9,578,96.0833333333333
1495,2015-06-08,2015-06-08,1,64.0018,-154.28815,1.09890158102924,341.5,294.4,185.5,92
1496,2015-07-08,2015-07-08,1,63.5949,-153.167433333333,1.24507566227032,386.8,303.2,203.4,95.8333333333333
1497,2015-07-08,2015-07-08,1,64.5852,-151.9095,0.25,336.9,300.3,42.3,90
1498,2015-07-08,2015-07-08,1,64.4478,-154.3467,0.25,348.5,292.3,62.3,90
1499,2015-07-08,2015-08-08,2,64.7542090909091,-152.7534,6.32944027278268,415.8,308.2,821.9,96
1500,2015-07-08,2015-07-08,1,63.7137,-152.6359,0.25,349.9,296.2,69.5,96
1501,2015-07-08,2015-07-08,1,63.7811166666667,-151.845066666667,0.543907476650872,359.7,300.6,103.1,93.3333333333333
1502,2015-07-08,2015-07-08,1,63.6194,-153.0014,0.25,344.6,304,52,93
1503,2015-07-08,2015-07-08,1,64.4852,-157.2086,0.25,323.6,286.8,25.2,100
1504,2015-07-08,2015-07-08,1,64.5682,-155.228,0.25,317.9,285,112.8,96
1505,2015-07-08,2015-08-08,2,64.5850142857143,-153.203242857143,1.06459164824798,324,288.4,51.8,96.2857142857143
1506,2015-22-07,2015-22-07,1,66.0913714285714,-154.739242857143,5.27449865587141,454.1,317.7,1231.2,96.7142857142857
1507,2015-22-07,2015-22-07,1,65.8161,-153.633,0.25,352.5,289.8,118.2,91
