,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,isFire
2276,9,9.0,4,1,1,-147.12322,67.05217,290,0.416735768166462,172.854397868337,1364,1401,3012,3964,3297,251,2000,3370,359,345,348,338,0.0,247.720001220703,50549.12890625,-7.76000022888184,-21.6299991607666,13038,12637,2003,4,7,0,0,0,-2.2094300587972,-2.022003809611,96791.4920247396,6.22570514678955e-05,-0.0004348075017333,6.55651092529297e-07,0.0,0.544840494791667,222.958318074544,99.998046875,252.768149693807,259.375961303711,0
3784,9,9.0,4,1,1,-159.3777,56.3381,454,0.400005571597723,334.382444370244,3274,2028,691,1364,962,1067,1234,2825,160,108,168,112,0.0,325.859985351562,49413.98046875,11.6099996566772,4.44000005722046,14176,13911,2018,8,30,0,0,1,0.702715675036112,3.36059315999349,91354.2389322917,0.0142946392297745,-0.0004920344799757,0.0,0.0056771039962768,21.091796875,226.562484741211,63.275390625,277.246085484823,278.973025004069,0
2818,5,5.0,7,1,1,-156.848725,61.7267,74,0.0286062730815949,64.9571742926898,367,450,4624,4977,3172,337,2000,2000,314,341,268,295,2.83999991416931,86.1399993896484,34222.66015625,0.639999985694885,-7.01000022888184,13299,13110,2009,2,25,0,0,3,2.16105977694194,-1.35903612772624,100780.404134115,0.0004584938287734,-4.15919348597527e-05,0.0013080686330795,0.0,0.708658854166667,246.527328491211,98.1640625,266.545021057129,268.429401397705,0
4108,8,8.0,4,1,1,-144.38715,66.49755,149,0.10992712394823,233.632959844745,1278,931,2395,3097,5377,348,2580,1995,363,387,337,364,0.0,279.510009765625,49447.328125,-6.61999988555908,-23.5400009155273,12902,12516,2022,4,5,0,0,0,-1.33516065279643,-0.486705144246419,98106.1953125,3.05473804473877e-06,-0.00023655872792,0.0001194104552268,0.0,0.388102213541667,211.503565470378,99.951171875,251.796881357829,256.542741775513,0
4015,9,9.0,4,1,1,-147.012584615385,66.8267076923077,201,0.138743832155757,148.874712406125,3797,1336,548,1219,261,978,2104,1045,128,93,132,95,0.0,276.410003662109,63574.46875,11.0200004577637,-0.569999992847443,14036,13599,2021,5,5,0,0,0,-1.65323555469513,-1.71732648213704,99240.6015625,3.94731760025024e-05,-0.0009727422147989,1.11795961856842e-05,0.0008597038686275,0.0113118489583333,179.183904012044,11.0379231770833,269.338811238607,278.962718963623,0
145,9,9.0,4,4,4,-158.112065,62.7926066666667,89,0.147301511,269.7995747,6951,3839,469,2608,199,840,3976,2000,180,117,187,121,0.0,444.869995117188,62724.578125,13.5600004196167,-0.709999978542328,14378,13733,2002,5,14,0,0,0,-2.10666497548421,0.319193522135417,100453.029459635,0.0017157942056655,-0.0009173676371574,0.0,0.0061183124780654,0.0448811848958333,327.671534220378,40.77734375,271.927017847697,278.619323730469,1
3504,7,7.0,2,4,5,-149.8719,66.6149,854,0.284606184637772,118.257544186388,4576,2706,909,2443,497,1334,1969,1984,507,664,506,663,0.0,326.730010986328,58614.0703125,5.67999982833862,-1.35000002384186,13630,13307,2015,4,25,1,0,0,-0.896842916806539,-2.36997858683268,92030.9156901042,0.0002170950174331,-0.0003952551633119,0.0,0.0,0.532918294270833,271.739242553711,97.26171875,267.982315699259,271.950129191081,0
3098,7,7.0,2,4,5,-155.0853,69.3385,244,0.145949118232637,353.633233603433,-386,-615,9091,9604,9514,1184,1977,2000,702,830,657,798,0.0,138.190002441406,43199.44140625,-25.8500003814697,-32.5099983215332,12064,11608,2012,3,21,0,0,0,-1.721804022789,-2.09317398071289,100727.313313802,0.0001281946897506,-3.41683626174927e-05,0.0006075948476791,0.0,0.758260091145833,171.602849324544,100.0,242.231098810832,245.43559328715,0
1277,8,8.0,4,1,1,-160.601317647059,64.0290176470588,180,0.339616585,265.8236999,523,534,3266,3627,3442,424,1960,1977,447,521,386,453,0.0,224.020004272461,43597.23828125,-2.86999988555908,-13.539999961853,13558,13189,2015,3,23,0,0,0,-0.697186787923177,-0.172278086344401,99887.7317708333,0.0003082752227783,-0.0001514283940196,2.49594449996948e-07,0.0,0.4879150390625,218.545232137044,99.70703125,259.711374282837,262.956436793009,1
750,8,8.0,4,1,1,-153.29895,63.1881833333333,230,0.281576737,79.8288452,493,588,4330,4780,5474,342,3257,4000,388,434,384,435,0.0,118.300003051758,33254.05859375,-4.26999998092651,-13.4399995803833,12607,12751,2009,2,24,0,0,3,-0.188685178756714,-0.675802707672119,98838.1909179688,0.0003308653831481,-5.69690018892288e-05,8.44895839691162e-06,0.0,0.575154622395833,197.572901407878,99.921875,257.096542358398,261.641319274902,1
3795,8,8.0,4,4,4,-146.13028,64.03792,370,0.44700814508816,299.675078981061,3972,1730,723,1676,300,1306,1060,2000,454,424,388,396,0.0,146.479995727539,34843.6484375,-0.629999995231628,-14.039999961853,13451,13149,2019,3,1,0,0,3,1.41262729962667,-0.443159103393555,95846.2932942708,0.0004912465810775,-8.5979700088501e-05,0.0,0.0,0.4010009765625,183.613591512044,99.9921875,256.816664377848,262.195767084758,0
453,8,8.0,4,1,1,-145.6975,64.1209,319,0.400005572,334.3824444,-341,-373,4007,3742,4484,914,2000,2000,455,493,445,489,0.0,38.8199996948242,23317.060546875,-24.9799995422363,-36.1300010681152,11819,11672,2005,1,31,0,0,3,-0.29529599348704,0.633485158284505,94746.4168294271,0.0001391321420669,6.67665153741837e-06,0.0005095899105072,0.0,0.592488606770833,184.932276407878,99.955078125,243.775915145874,247.084631601969,1
3549,9,9.0,4,1,1,-151.845066666667,63.9235166666667,201,0.438976246921588,280.722037165284,5832,1297,209,794,104,355,2317,4000,100,71,102,73,8.48999977111816,280.410003662109,62081.23828125,16.5300006866455,0.790000021457672,14477,13597,2015,5,9,1,0,0,0.197251280148824,-0.0331039428710938,98502.9125976562,0.0002873837947845,-0.0009375251829624,0.0,1.40443444252014e-06,-7.345364722995101e-24,260.015609741211,0.00732421875,277.232837041219,282.976678212484,0
1916,8,8.0,4,1,1,-142.8008,65.1146,529,0.183641204,312.7669086,5952,1864,309,1218,118,570,1530,1973,128,131,129,131,0.0,369.440002441406,56200.96875,11.4399995803833,-7.84000015258789,13809,13564,2021,4,22,0,0,0,0.415234883626302,0.51373298962911,94105.5366210938,0.0026829838752746,-0.0005520265549421,0.0,0.0039252769201993,0.242431640625,252.901677449544,98.419921875,264.069438934326,272.139024098714,1
1667,8,8.0,4,1,1,-151.029366666667,64.8644333333333,191,0.018956009,153.7696333,6369,2620,375,1691,185,701,824,2083,206,204,208,206,0.0,337.029998779297,56887.828125,8.28999996185303,-4.61999988555908,13843,13628,2018,4,24,0,0,0,-0.452472050984701,-2.56150436401367,97911.3549804688,0.0003386735916137,-0.0006248196586966,0.0,0.0040138065814971,0.336751302083333,304.721664428711,99.9921875,271.018006006877,276.017698923747,1
3051,9,9.0,4,1,1,-147.8042,66.2218,108,0.138743832155757,148.874712406125,6151,3089,499,2094,291,421,2000,112,143,96,149,100,3.57999992370605,173.029998779297,80082.1015625,22.9400005340576,11.2700004577637,14744,14378,2010,6,29,0,0,1,0.257365226745605,0.172017256418864,99067.7679036458,5.63263893127441e-06,-0.0017676260322332,0.0,1.8626451492309603e-09,-7.345364722995101e-24,100.061182657878,0.0,280.940011342367,292.90558942159,0
2546,8,8.0,4,1,1,-154.869640909091,66.5072136363636,271,0.233965784447653,191.145923044612,1980,2053,2843,4247,3177,569,1977,1957,304,302,301,301,0.0,225.630004882812,41863.37890625,-2.67000007629395,-16.0100002288818,13161,12856,2005,3,19,1,0,3,-1.09754371643066,-1.02817344665527,100388.186197917,0.0002117007970809,-0.0003609657287597,0.0,0.0,0.984090169270833,277.484685262044,99.916015625,260.397041320801,264.766762415568,0
1969,10,10.0,1,6,6,-163.41861,62.5076266666667,34,0.213731896,271.0360325,386,383,5671,6127,5639,585,2000,3981,534,600,521,593,0.0,145.630004882812,39482.26171875,-4.46999979019165,-10.0900001525879,13377,13099,2022,3,12,1,0,3,-3.11755347251892,-3.70544254779816,99840.5603841146,0.0005879998207092,-0.0002838931977748,0.0,0.0,0.466471354166667,252.129542032878,99.78515625,257.548636754354,264.516665776571,1
3583,8,8.0,4,1,1,-155.73888,66.28274,184,0.354126818912315,186.389932504403,787,923,4072,4768,4254,168,2000,2000,337,338,339,341,0.0,255.050003051758,46284.578125,-8.56999969482422,-23.5,12807,12503,2016,3,28,0,0,0,-0.96760892868042,1.38362185160319,98365.3894856771,0.0003426671028137,-0.0002817353233695,4.26359474658966e-06,0.0,0.676595052083333,261.048812866211,99.912109375,254.127573649089,257.881982803345,0
943,8,8.0,4,1,1,-146.415684210526,66.4205368421052,122,0.156772251,6.151312872,5602,2037,389,1380,207,998,412,2000,140,95,145,98,0.0,305.100006103516,63099.25,12.3000001907349,-1.25,14076,13737,2010,5,5,0,0,0,-0.487108151117961,1.35411198933919,101478.891113281,5.91576099395752e-06,-0.0008527059108018,0.0004663914442062,0.0001496188342571,0.0009765625,162.926417032878,0.957112630208333,269.624125798543,278.795538584391,1
3030,8,8.0,4,1,1,-148.52535,66.46055,285,0.266868064661825,102.658870635516,7332,3871,364,2365,217,868,1974,784,216,133,230,143,0.0,336.660003662109,76365.8125,23.6399993896484,5.59999990463257,14797,14010,2010,6,2,0,0,0,-0.258406519889832,0.110090255737305,96252.6236979167,6.92903995513916e-06,-0.0020808409899473,0.0,0.0,-7.345364722995101e-24,99.9999847412109,0.0,281.257323582967,288.903978983561,0
140,7,7.0,2,4,5,-152.71545,67.700875,517,0.252395584,125.2923598,5924,2669,515,2012,144,996,1986,2000,479,582,485,588,0.0,257.25,63118.30859375,-0.990000009536743,-10.3800001144409,13502,13020,2002,5,2,0,0,0,0.179593245188395,-0.525307973225911,92541.5696614583,0.0,-0.0004094000905752,0.002821497619152,0.0,0.892740885416667,210.521469116211,99.91796875,268.040722529093,270.217218399048,1
4055,8,8.0,4,1,1,-152.728913592233,64.0987631067961,277,0.110633504080775,234.231453075904,427,378,4167,4539,3919,401,1993,2000,358,381,353,385,0.0,245.059997558594,40009.671875,-8.90999984741211,-25.5300006866455,13108,12644,2022,3,14,0,0,3,-1.84788258870443,-1.01205698649089,95760.4837239583,0.0003347545862197,-0.0003233291208744,0.0,0.0,0.732218424479167,233.885726928711,99.998046875,249.699551900228,256.849202473958,0
3912,8,8.0,4,4,4,-150.17694,61.82666,40,0.183873783008102,114.856446552132,5296,2306,547,1779,228,509,222,1636,172,125,186,135,3.4300000667572,242.330001831055,63668.98828125,16.2900009155273,4.32000017166138,14210,13815,2019,5,20,0,0,0,0.594987432161967,-0.114966074625651,100116.173665365,0.002075970172882,-0.0025621177628636,0.0,4.17232513427734e-07,-7.345364722995101e-24,170.132797241211,0.0016276041666666,280.19775390625,284.300306955973,0
1141,8,8.0,4,1,1,-150.39315,64.06365,206,0.250635495,22.31152803,1540,1153,1809,2468,2011,240,1991,2410,244,250,245,252,4.19999980926514,144.830001831055,59920.26171875,0.259999990463257,-6.25,13740,13332,2013,5,3,0,0,0,-1.74305168787638,-1.02390098571777,97401.0105794271,0.0002753883600234,-0.0005657505244016,0.0038678348064422,0.0,0.450276692708333,234.269841512044,99.98046875,266.00998433431,270.267189025879,1
1443,9,9.0,4,1,1,-152.167190909091,65.4725363636364,212,0.017139103,338.7470069,6039,3061,555,2248,234,898,2000,180,338,365,339,365,0.0,377.339996337891,58148.8203125,12.9700002670288,-2.57999992370605,14010,13635,2015,4,26,1,0,0,-1.25894089539846,-0.875483830769857,98284.5989583333,0.0051779597997665,-0.0002112723886966,0.0,0.0096127763390541,0.1451416015625,304.403630574544,100.0,271.792813618978,276.436836878459,1
2716,8,8.0,4,1,1,-151.196146428571,65.4091678571429,418,0.251348660809978,86.944659353023,358,170,1128,1212,2431,591,2000,2000,215,239,209,235,0.0,228.919998168945,48282.30859375,1.55999994277954,-13.4499998092651,13351,13101,2007,4,3,0,0,0,-0.710138082504272,-0.123270034790039,96638.4147135417,0.0001443475484848,-0.000422547571361,0.000113908201456,0.0,0.316935221354167,194.975570678711,99.947265625,262.268564224243,266.68366877238,0
1978,9,9.0,4,1,1,-150.8231,66.5645,284,0.280982897,228.7570054,155,150,5514,5688,4330,470,1963,2000,313,328,311,320,0.0,235.949996948242,43199.51171875,-8.90999984741211,-24.0400009155273,13066,12365,2022,3,22,0,0,0,-0.803612907727559,-1.98936879634857,97339.7563476562,0.0003917664289474,-0.0002465136349201,0.0,0.0,0.750895182291667,249.120427449544,89.4921875,248.836008707682,254.801586151123,1
898,8,8.0,4,1,1,-150.7317,64.2494,168,0.250635495,22.31152803,-10,-14,6026,6013,5913,301,1957,1323,508,549,474,532,0.769999980926514,86.1100006103516,33144.87109375,-16.1900005340576,-23.4799995422363,12386,12420,2010,2,25,0,0,3,-1.72061288356781,-1.01405843098958,97959.6339518229,5.74290752410889e-05,-0.0001128837466239,0.0003990717232227,0.0,0.231241861979167,176.670883178711,99.7109375,249.187201182048,252.71472231547,1
613,8,8.0,4,1,1,-148.54064,64.41506,162,0.289804194,354.6681663,1721,1452,2109,2986,2349,541,2000,2000,276,259,268,256,0.0,305.859985351562,46438.96875,4.26999998092651,-19.1599998474121,13253,12492,2006,3,30,0,0,0,-0.284849961598714,-1.53247451782227,98265.9853515625,5.65648078918457e-05,-0.0003351382911205,0.0,0.0,0.303059895833333,184.247380574544,100.0,253.602478663127,259.961365381877,1
726,9,9.0,4,1,1,-149.8247,61.175,51,0.631341783,276.4195902,676,822,4408,5048,4040,625,264,2000,319,335,316,334,0.0,214.289993286133,47768.9609375,6.48999977111816,0.670000016689301,13657,13200,2008,4,3,0,0,0,1.21516033013662,-0.484052658081055,98290.1394856771,0.0005291849374771,-0.0001527639105916,0.0002656020224094,0.0003148447722196,1.39046223958333,367.860661824544,99.994140625,272.10783513387,274.165482838949,1
3513,7,7.0,2,4,5,-157.687969230769,66.6715461538462,96,0.24640491021528,234.89573291228,4804,2718,942,2684,309,1377,1982,2000,395,437,395,437,0.0,286.320007324219,59127.80078125,5.05000019073486,-4.46999979019165,13749,13423,2015,4,26,1,0,0,-0.0884900490442912,1.27034950256348,98904.0572916667,0.0004530698060989,-0.0007849317044019,4.20957803726196e-07,0.0027220733463764,0.443603515625,305.455388387044,99.998046875,269.320645650228,273.108304977417,0
664,7,7.0,2,4,5,-153.002075,67.255325,710,0.272879927,112.3052355,-371,-552,7630,7084,5228,616,97,1958,749,840,744,843,0.0,200.440002441406,51079.48828125,2.3199999332428,-8.02999973297119,12879,13091,2007,4,8,1,0,0,-1.45016543070475,-0.344935735066732,90317.9554036458,0.000250369310379,-0.0001903530210256,0.0033298060297966,0.0,0.723185221354167,218.001286824544,99.9140625,264.886386235555,266.571677525838,1
974,8,8.0,4,1,1,-148.5266,66.3076,114,0.266868065,102.6588706,7234,2963,286,1782,117,560,53,1096,142,94,150,101,0.0,339.200012207031,75981.7109375,25.9599990844727,5.48000001907349,14591,13773,2010,6,2,0,0,0,-0.0668375094731649,0.245384852091471,98022.4153645833,1.58399343490601e-05,-0.0023711435496807,0.0,0.0,-7.345364722995101e-24,99.9999847412109,0.0,282.551431655884,289.55689239502,1
304,8,8.0,4,1,1,-145.126812412587,64.5041082167832,926,0.400005572,334.3824444,52,55,3586,3624,2915,797,1974,2000,649,674,637,669,0.0,242.350006103516,44823.19140625,-16.8299999237061,-27.9799995422363,12629,12227,2004,3,25,0,0,0,-1.10355754693349,-0.453158696492513,91348.3460286458,0.0003719329833984,-0.0002750996500253,0.0018279775977134,0.0,0.6072998046875,199.026026407878,99.037109375,249.865208943685,254.398838043213,1
243,8,8.0,4,1,1,-145.7138,67.1468,256,0.284411388,176.6073941,5633,2014,367,1314,235,394,575,2000,165,142,159,138,0.0,296.320007324219,54773.328125,10.0699996948242,-6.46000003814697,13883,13535,2003,4,16,0,0,0,-1.01187896728516,-0.477123260498047,96814.9840494792,0.00340536236763,-0.000611487776041,4.61935997009277e-07,0.0033987052738666,0.28662109375,236.600896199544,99.998046875,268.924802144368,273.693491617839,1
1870,7,7.0,2,4,5,-161.73055,61.700775,32,0.062425065,164.9607033,-271,-300,9411,8913,8849,193,2000,2000,644,774,638,772,0.0,180.509994506836,36739.8984375,-16.0300006866455,-26.1700000762939,12622,12236,2020,3,3,0,0,3,-2.29540093739827,2.91707229614258,100227.861165365,0.0007092803716659,3.3767893910408e-05,0.0001383461058139,0.0,0.726236979166667,197.022445678711,98.34375,248.256103515625,251.307901382446,1
632,9,9.0,4,1,1,-149.716262162162,66.6550621621622,526,0.284606185,118.2575442,399,446,3877,4200,5461,475,725,1563,243,346,190,290,0.0,73.2399978637695,30516.330078125,-26.3400001525879,-36.0499992370605,11858,11758,2007,2,22,0,0,3,-0.481462478637695,-1.13528954982758,93458.7482096354,0.0003909021615982,6.07594847679138e-06,9.5069408416748e-06,0.0,0.4814453125,183.530909220378,99.96875,235.630563100179,239.337515513102,1
18,8,8.0,4,1,1,-151.5008,64.24795,357,0.018956009,153.7696333,2080,1570,1713,2613,1534,353,1991,1990,186,145,178,141,0.0,190.050003051758,38779.01171875,-6.40000009536743,-21.4699993133545,13117,12826,2002,3,11,0,0,3,-2.59173266092936,-2.78065490722656,96432.2591145833,0.0002065598964691,-0.0004301574081182,0.0,0.0,0.324422200520833,188.207341512044,99.625,252.467985153198,259.201900482178,1
440,8,8.0,4,1,1,-141.4739,64.8828,364,0.193440711,87.7864654,6791,2838,334,1748,173,513,2000,2000,119,80,128,85,8.85999965667725,147.410003662109,69780.9296875,13.8000001907349,7.17999982833862,14382,13978,2004,5,25,0,0,0,-1.10366364320119,0.923580805460612,93239.6905924479,0.0004933774471282,-0.0017393212765455,0.0,6.40749931335449e-07,-7.27919033709973e-24,233.656885782878,0.001953125,281.532152811686,284.742535273234,1
1835,7,7.0,2,4,5,-156.5186,60.2308,257,0.039431168,79.07750769,5699,3779,877,3202,411,1122,3108,786,259,175,285,189,0.0,275.100006103516,59870.7890625,8.94999980926514,1.72000002861023,14719,13617,2019,5,12,1,0,0,3.58535424868266,-2.6775582631429,99199.7172851562,0.0059270560741424,-0.001841677352786,0.0,3.58372926712036e-06,-7.345364722995101e-24,434.367172241211,0.0118815104166667,274.3125,278.225823720296,1
424,8,8.0,4,4,4,-145.819517647059,65.9968411764706,283,0.576566741,72.06930934,7435,3923,359,2441,177,733,2000,2000,150,99,162,106,1.16999995708466,404.790008544922,70203.8828125,18.8199996948242,-0.219999998807907,14741,13796,2004,5,21,0,0,0,-0.182292222976685,1.51969909667969,98901.0001627604,3.44812870025635e-05,-0.0016172546893358,0.0,2.98023223876953e-08,-7.27919033709973e-24,151.526351928711,0.0,270.177549997966,282.055526733398,1
2165,9,9.0,4,1,1,-154.224605714286,62.8191,162,0.126873743001247,220.939564687842,4795,2024,584,1660,250,1092,1617,3157,172,121,184,130,0.0,261.549987792969,58545.3203125,5.96000003814697,-2.41000008583069,14033,13479,2002,5,2,0,0,0,0.239936669667562,0.677979787190755,100654.569661458,0.0003141611814498,-0.0009445184841752,9.81464982032776e-05,0.0009193867444992,0.257893880208333,280.791976928711,100.0,268.329785029093,273.199803034465,0
2682,8,8.0,4,1,1,-148.5417,64.5566,122,0.289804193794692,354.668166251018,669,631,2828,3234,2865,530,2000,2000,297,294,286,287,0.0,301.959991455078,46455.75,1.95000004768372,-20.3799991607666,13134,12652,2006,3,30,0,0,0,-1.02317190170288,-1.7798703511556,99225.3186848958,2.58833169937134e-05,-0.0003235377371311,0.0,0.0,0.304239908854167,193.746078491211,100.0,254.016785303752,260.096375147502,0
3265,8,8.0,4,1,1,-150.9468,60.4821,92,0.655684094748371,271.193228071957,2930,1519,925,1692,1954,342,1207,3179,191,178,148,143,1.48000001907349,113.709999084473,32689.330078125,-3.45000004768372,-11.2200002670288,13502,13301,2014,2,19,0,0,3,1.15814916292826,-0.166425069173177,97652.677734375,0.0010184347629547,1.39698386192322e-05,0.0008319914340972,0.0,0.4114990234375,236.223292032878,99.900390625,261.302342732747,263.682847340902,0
3134,8,8.0,4,4,4,-156.822428571429,62.7369285714286,404,0.100215949352513,97.6824185124955,1379,1696,4176,5512,2472,785,2000,2083,344,321,339,312,0.0,189.089996337891,36053.73828125,-5.82999992370605,-17.4200000762939,13026,13440,2013,3,3,1,0,3,-0.774895985921224,-1.47453943888346,98039.4498697917,0.000433936715126,4.16096299886703e-05,0.0,0.0,0.767293294270833,202.238265991211,99.9921875,255.294687271118,258.202016194661,0
3592,8,8.0,4,1,1,-155.7003,66.0107,132,0.354126818912315,186.389932504403,168,184,3858,3990,3756,293,1988,2000,320,334,313,332,0.0,259.399993896484,46251.26171875,-7.92999982833862,-22.8899993896484,12978,12580,2016,3,28,0,0,0,-1.16422351201375,0.73359743754069,99634.8478190104,0.0002476572990417,-0.0003152126446366,1.24145299196243e-05,0.0,0.521647135416667,258.917627970378,99.025390625,254.918752034505,258.790592829386,0
2107,8,8.0,4,1,1,-155.7684,64.18436,212,0.0901331563520211,68.3625038227059,1611,1323,2051,2839,2031,298,2000,2000,245,253,240,240,0.0,240.949996948242,44001.01171875,1.54999995231628,-11.3500003814697,12928,12669,2002,3,24,1,0,0,-0.617493271827698,-1.65915298461914,98442.2337239583,0.0003018230199813,-0.0003061778843402,7.74860382080078e-07,0.0,0.429402669270833,243.014633178711,99.830078125,263.355346679688,266.93883005778,0
1282,7,7.0,2,1,5,-145.76555,61.604875,1215,0.57839727,105.1566764,-243,-398,9755,9292,9211,442,2000,2000,699,839,699,842,0.0,341.489990234375,43558.2109375,-0.0900000035762787,-10.8299999237061,13378,13029,2015,3,23,0,0,0,0.189287821451823,0.694950103759766,90062.5234375,0.0003787130117416,2.61319801211357e-05,1.43051147460938e-06,0.0,1.62674967447917,279.054672241211,99.93359375,262.994821548462,265.579971949259,1
