,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,avgLongitude,avgLatitude,Elevation,Slope,Aspect,NDVI,EVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,Clear_day_cov,Clear_night_cov,Albedo_BSA_nir,Albedo_BSA_shortwave,Albedo_WSA_nir,Albedo_WSA_shortwave,prcp,srad,dayl,tmax,tmin,LST_Day_1km,LST_Night_1km,Y,M,D,W,H,S,v_component_of_wind_10m,u_component_of_wind_10m,surface_pressure,runoff_sum,total_evaporation_sum,snowfall_sum,snowmelt_sum,snow_depth,snow_density,snow_cover,dewpoint_temperature_2m,temperature_2m,totalArea_km2
1314,9,9,4,1,1,-148.691355555556,66.8884141414141,476,0.266868065,102.6588706,1141,1186,3152,3964,3005,833,2000,2000,194,189,191,188,0.0,220.580001831055,44107.5390625,-3.46000003814697,-16.6599998474121,13183,12773,2015,3,24,0,0,0,-0.968249718348185,-0.143833796183268,95417.0130208333,0.0001993328332901,-3.36999073624611e-05,0.0,0.0,0.495564778645833,197.504867553711,100.0,255.23482577006,259.466545740763,234.349861111186
361,8,8,4,1,1,-143.305423678647,63.7424560958421,756,0.57913552,92.60066326,5890,2267,383,1481,223,633,2000,2000,128,90,132,92,0.0,443.790008544922,60397.71875,16.7000007629395,-3.08999991416931,14420,13645,2004,5,4,0,0,0,-1.12165451049805,0.826735814412435,92769.8473307292,0.0007914900779724,-0.0007883831858634,0.0,0.0084193572402,0.0840250651041667,382.979151407878,80.696044921875,267.833511352539,279.718233744303,2081.1161048088
856,8,8,4,1,1,-148.97104,65.402128,416,0.086400232,253.0087634,2634,1477,1065,1827,1460,300,3934,337,185,225,157,190,0.0,68.6100006103516,33435.5390625,-20.0799999237061,-24.8700008392334,12697,12156,2010,2,27,1,0,3,-1.43443870544434,0.539642333984375,96138.1637369792,4.70280647277832e-05,-7.16466456651688e-05,0.0001428574323654,0.0,0.2296142578125,154.969385782878,100.0,243.685087203979,247.218079249064,41.1087752768244
1742,1,1,7,1,1,-146.495220547945,64.8673684931507,402,0.447008145,299.675079,5450,1367,222,754,315,222,513,1961,129,91,102,75,0.0,182.490005493164,44026.171875,10.1700000762939,0.709999978542328,13970,13602,2019,3,24,1,0,0,0.666493733723958,-1.05470975240072,96517.0844726562,0.0017754137516021,-9.86848026514053e-05,3.35276126861572e-08,0.0064610429108142,0.1650390625,257.356755574544,99.9609375,271.923631032308,276.000073115031,57.7238491039134
941,8,8,4,1,1,-147.859232142857,64.6874821428571,135,0.267640389,346.948073,6070,2244,347,1419,208,842,2000,3961,136,93,140,96,0.0,335.630004882812,60827.87890625,13.6800003051758,-2.75,14355,13545,2010,5,4,0,0,0,-0.568238178888957,1.26642290751139,100771.745279948,1.16974115371704e-05,-0.0009182309731841,0.0,6.70552253723145e-08,-7.345364722995101e-24,162.453109741211,0.0,269.874435424805,280.324202219645,13.3819662355722
321,9,9,4,1,1,-151.380604504504,66.5446792792793,216,0.311635436,253.7244836,3842,1871,810,1821,423,453,2000,681,252,286,250,284,0.0,276.230010986328,52622.12890625,8.14999961853027,-5.03000020980835,13652,13580,2004,4,11,1,0,0,0.702044089635213,0.433193643887838,99420.5930989583,0.0009161233901977,-0.0003673695027828,0.0,0.0051773507148027,0.385782877604167,254.808252970378,99.599609375,269.523156483968,274.763000488281,201.156355561182
1893,7,7,2,1,5,-150.409454545455,66.4691727272727,550,0.280982897,228.7570054,107,112,7056,7209,6861,1157,1394,2000,536,619,504,599,1.24000000953674,185.529998779297,40526.4609375,-14.9899997711182,-26.0200004577637,12523,12243,2021,3,16,0,0,3,0.200892845789591,-1.19659082094828,93020.6861979167,0.0003114640712738,-5.98374754190445e-06,4.97885048389435e-05,0.0,0.5770263671875,177.331364949544,99.962890625,246.812252680461,250.611075083415,2.80108649507468
1708,15,15,9,7,10,-159.387,56.1933,1895,0.158940842,110.9915781,-703,-471,2701,2346,3094,482,1997,1163,263,373,287,406,32.5999984741211,109.360000610352,55832.78125,-0.879999995231628,-1.80999994277954,13719,13856,2018,8,6,0,0,1,0.182571450869242,2.44398562113444,87999.0987955729,0.0230197608470917,0.0003211684525012,0.0,0.022210631519556,33.3330078125,299.999984741211,99.990234375,283.797749201457,284.875709533691,1.07551768445592
1849,7,7,2,4,5,-156.6286,60.0536,129,0.039431168,79.07750769,8052,5625,402,3726,182,614,3816,1966,195,127,199,128,0.0,383.989990234375,64454.58984375,16.9699993133545,5.3899998664856,14265,13986,2019,5,31,0,0,0,1.23246808846792,-4.27794901529948,98812.71875,0.0026845633983612,-0.0021929033100605,0.0,0.0,-7.345364722995101e-24,100.013005574544,0.0,278.282786051432,283.196739196777,0.25
486,7,7,2,1,5,-149.85367,66.83338,813,0.284606185,118.2575442,-253,-393,8365,7951,8659,978,2000,611,527,689,523,660,0.0,146.910003662109,42293.98046875,-11.7700004577637,-18.5200004577637,13010,12641,2005,3,20,1,0,0,-1.79573965072632,-2.62050120035807,93540.701171875,0.0001565217971801,-1.73384323716164e-05,3.31327319145203e-05,0.0,1.08256022135417,241.100570678711,99.3046875,248.106285730998,253.667058308919,19.4591874608888
619,8,8,4,1,1,-145.5978,66.933,153,0.106929744,353.0589706,2111,1426,1461,2243,1900,498,2355,4000,203,187,201,187,0.0,216.529998779297,49589.0390625,-3.42000007629395,-15.039999961853,13174,12876,2006,4,5,0,0,0,-1.98435719807943,-2.02560170491536,98879.96484375,2.04145908355713e-06,-0.000574636273086,0.0015478059649467,0.0,0.339436848958333,205.931625366211,99.74609375,263.24516805013,268.007076263428,0.541484014959394
